Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - Aixigo,https://www.crunchbase.com/funding_round/aixigo-gmbh-seed--9178d303,Aixigo,https://www.crunchbase.com/organization/aixigo-gmbh,Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",,,,01/01/2000,Seed,,,,Yes,Aixigo is an API-based wealth management platform that enables banks and financial services providers to digitize their service offerings.,"Analytics, Insurance, Software, Wealth Management",,http://www.aixigo.de,$1M to $10M,,,,M&A,2,TechVision Fund,TechVision Fund,1,,"371,066"
Series A - Surplex,https://www.crunchbase.com/funding_round/surplex-series-a--c2accbd5,Surplex,https://www.crunchbase.com/organization/surplex,Series A,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",18000000,EUR,17273212,30/03/2000,Early Stage Venture,,,,Yes,Surplex is an e-commerce company that specializes in the digital auction of old machines.,"E-Commerce, Industrial, Marketplace, Online Auctions",,http://www.surplex.com,$10M to $50M,18000000,EUR,17273212,M&A,2,,"ABB, Viventures",2,,"298,281"
Series A - Paion,https://www.crunchbase.com/funding_round/paion-ag-series-a--56b30e60,Paion,https://www.crunchbase.com/organization/paion-ag,Series A,"Aachen, Nordrhein-Westfalen, Germany, Europe",,,,15/09/2001,Early Stage Venture,,,,Yes,PAION is a biopharmaceutical company developing and commercializing drug candidates for diseases with substantial unmet medical needs.,"Biotechnology, Health Care, Pharmaceutical",,http://www.paion.com,$10M to $50M,41114269,USD,41114269,IPO,9,,Reference Capital SA,1,,"422,118"
Seed Round - Visys,https://www.crunchbase.com/funding_round/visys-seed--497a1569,Visys,https://www.crunchbase.com/organization/visys,Seed,"Hasselt, Limburg, Belgium, Europe",208000,USD,208000,07/10/2004,Seed,208000,USD,208000,Yes,Visys is a provider of digital automated sorting solutions for the global food and non-food processing industries.,"Food Processing, Hospitality, Industrial Automation, Information Technology",,http://www.visysglobal.com,,4608100,USD,4608100,M&A,4,,,,,"537,452"
Pre Seed Round - Pharmedartis,https://www.crunchbase.com/funding_round/pharmedartis-pre-seed--932260bd,Pharmedartis,https://www.crunchbase.com/organization/pharmedartis,Pre-Seed,"Aachen, Nordrhein-Westfalen, Germany, Europe",,,,01/12/2004,Seed,,,,Yes,Pharmedartis focus is on recombinant technologies and protein production.,"Bioinformatics, Biopharma, Biotechnology",,http://www.pharmedartis.de/,,,,,Seed,1,,Fraunhofer Venture,1,,"570,815"
Series A - Open-Xchange,https://www.crunchbase.com/funding_round/open-xchange-series-a--9e52c826,Open-Xchange,https://www.crunchbase.com/organization/open-xchange,Series A,"Köln, Nordrhein-Westfalen, Germany, Europe",8800000,USD,8800000,01/01/2006,Early Stage Venture,,,,Yes,"Open-Xchange is committed to a borderless internet that is open, safe and free allowing users to protect their own data and privacy.","Collaboration, Email, Open Source, Productivity Tools, Software",,http://www.open-xchange.com,$10M to $50M,67915436,USD,67915436,Late Stage Venture,5,BayTech Venture Capital,BayTech Venture Capital,1,1,"450,369"
Seed Round - Visys,https://www.crunchbase.com/funding_round/visys-seed--a8165747,Visys,https://www.crunchbase.com/organization/visys,Seed,"Hasselt, Limburg, Belgium, Europe",577000,USD,577000,04/03/2006,Seed,,,,Yes,Visys is a provider of digital automated sorting solutions for the global food and non-food processing industries.,"Food Processing, Hospitality, Industrial Automation, Information Technology",,http://www.visysglobal.com,,4608100,USD,4608100,M&A,4,,Limburgse Reconversie Maatschappij,1,,"254,436"
Series A - antibodies-online.com,https://www.crunchbase.com/funding_round/antikoerper-online-de-series-a--0b137c05,antibodies-online.com,https://www.crunchbase.com/organization/antikoerper-online-de,Series A,"Aachen, Nordrhein-Westfalen, Germany, Europe",,,,01/01/2007,Early Stage Venture,,,,Yes,"antibodies-online is a vendor-independent marketplace for antibodies, ELISA kits, and related research reagents.","Biotechnology, E-Commerce, Life Science, Marketplace",,http://www.antibodies-online.com,Less than $1M,250000,EUR,368257,M&A,4,,Seed Fonds Aachen,1,,"293,771"
Seed Round - trivago,https://www.crunchbase.com/funding_round/trivago-seed--ad57b231,trivago,https://www.crunchbase.com/organization/trivago,Seed,"Düsseldorf, Nordrhein-Westfalen, Germany, Europe",1000000,EUR,1315192,01/01/2007,Seed,,,,Yes,trivago is an online hotel search platform that compares prices from various hotels on booking sites worldwide.,"Hospitality, Hotel, Information Technology, Internet, Marketing, Travel",,https://company.trivago.com,$500M to $1B,54997173,USD,54997173,M&A,3,Global Founders Capital,"Christian Vollmann, Florian Heinemann, Global Founders Capital, Phil Quist",4,,"400,622"
Seed Round - Virtual Nights,https://www.crunchbase.com/funding_round/virtual-nights-seed--65952896,Virtual Nights,https://www.crunchbase.com/organization/virtual-nights,Seed,"Essen, Nordrhein-Westfalen, Germany, Europe",,,,14/05/2007,Seed,,,,Yes,"Virtual Nights is the community for around Berlin nightlife, party and party pictures!",Communities,,http://www.virtualnights.com/,Less than $1M,,,,Seed,1,,HV Capital,1,1,"434,312"
